hospital_count,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,Hospital Ownership,Hospital Type,State,County Name,ZIP Code
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,SD,LAWRENCE,57732
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,OH,HENRY,43545
1,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,TN,CARROLL,38344
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,OH,TRUMBULL,44482
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,OH,STARK,44646
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,WI,SAUK,53959
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,TX,REFUGIO,78377
1,Same as the national average,Above the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Church,Critical Access Hospitals,OR,UMATILLA,97801
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Government - Local,Acute Care Hospitals,AR,POLK,71953
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,CO,YUMA,80758
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,CA,SAN MATEO,94010
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Proprietary,Acute Care Hospitals,CA,RIVERSIDE,92262
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,IL,CHAMPAIGN,61801
1,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,KY,JEFFERSON,40202
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IL,TAZEWELL,61554
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,MN,BLUE EARTH,56001
1,Same as the national average,Not Available,Not Available,Same as the national average,Not Available,Government - Local,Critical Access Hospitals,MN,MURRAY,56172
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,MI,WAYNE,48236
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Church,Critical Access Hospitals,ND,BARNES,58072
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Childrens,TN,SHELBY,38105
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,PA,SOMERSET,15501
1,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,PA,ERIE,16544
1,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Church,Critical Access Hospitals,OK,JOHNSTON,73460
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,OH,RICHLAND,44903
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,OK,STEPHENS,73533
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,TX,ERATH,76401
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Church,Critical Access Hospitals,WI,DOOR,54235
1,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,TX,POTTER,79106
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,WI,MONROE,54660
1,Not Available,Above the national average,Same as the national average,Above the national average,Not Available,Proprietary,Acute Care Hospitals,WY,NATRONA,82605
2,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Childrens,OH,HAMILTON,45229
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,SD,KINGSBURY,57231
